id,question,language,intent,proposed_relevant_document_ids,reviewed_relevant_document_ids,review_status,reviewer,reviewed_at,notes
expanded-044,"For a Jakarta resident, How do transport, industry, and open burning affect Jakarta air?",English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-045,"What does the evidence say about this: How do transport, industry, and open burning affect Jakarta air?",English,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-046,"Bagaimana transportasi, industri, dan pembakaran terbuka memengaruhi udara Jakarta?",Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-047,"Tolong jelaskan: Bagaimana transportasi, industri, dan pembakaran terbuka memengaruhi udara Jakarta?",Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-048,"Secara sederhana, Bagaimana transportasi, industri, dan pembakaran terbuka memengaruhi udara Jakarta?",Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-049,"Untuk warga Jakarta, Bagaimana transportasi, industri, dan pembakaran terbuka memengaruhi udara Jakarta?",Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-050,"Apa kata bukti resmi tentang ini: Bagaimana transportasi, industri, dan pembakaran terbuka memengaruhi udara Jakarta?",Bahasa Indonesia,causes,jakarta-causes,,seeded_pending_human_review,,,
expanded-051,Which Jakarta air-quality regulations are currently in force?,English,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-052,Please explain: Which Jakarta air-quality regulations are currently in force?,English,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-053,"In simple terms, Which Jakarta air-quality regulations are currently in force?",English,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-054,"For a Jakarta resident, Which Jakarta air-quality regulations are currently in force?",English,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-055,What does the evidence say about this: Which Jakarta air-quality regulations are currently in force?,English,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-056,Peraturan kualitas udara apa yang saat ini berlaku di Jakarta?,Bahasa Indonesia,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-057,Tolong jelaskan: Peraturan kualitas udara apa yang saat ini berlaku di Jakarta?,Bahasa Indonesia,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-058,"Secara sederhana, Peraturan kualitas udara apa yang saat ini berlaku di Jakarta?",Bahasa Indonesia,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-059,"Untuk warga Jakarta, Peraturan kualitas udara apa yang saat ini berlaku di Jakarta?",Bahasa Indonesia,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-060,Apa kata bukti resmi tentang ini: Peraturan kualitas udara apa yang saat ini berlaku di Jakarta?,Bahasa Indonesia,regulation,jakarta-regulations,,seeded_pending_human_review,,,
expanded-061,Why was the Jakarta ERP proposal delayed?,English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-062,Please explain: Why was the Jakarta ERP proposal delayed?,English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-063,"In simple terms, Why was the Jakarta ERP proposal delayed?",English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-064,"For a Jakarta resident, Why was the Jakarta ERP proposal delayed?",English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-065,What does the evidence say about this: Why was the Jakarta ERP proposal delayed?,English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-066,Mengapa usulan ERP Jakarta tertunda?,Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-067,Tolong jelaskan: Mengapa usulan ERP Jakarta tertunda?,Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-068,"Secara sederhana, Mengapa usulan ERP Jakarta tertunda?",Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-069,"Untuk warga Jakarta, Mengapa usulan ERP Jakarta tertunda?",Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-070,Apa kata bukti resmi tentang ini: Mengapa usulan ERP Jakarta tertunda?,Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-071,What interventions could improve Jakarta air quality?,English,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-072,Please explain: What interventions could improve Jakarta air quality?,English,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-073,"In simple terms, What interventions could improve Jakarta air quality?",English,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-074,"For a Jakarta resident, What interventions could improve Jakarta air quality?",English,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-075,What does the evidence say about this: What interventions could improve Jakarta air quality?,English,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-076,Intervensi apa yang dapat memperbaiki kualitas udara Jakarta?,Bahasa Indonesia,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-077,Tolong jelaskan: Intervensi apa yang dapat memperbaiki kualitas udara Jakarta?,Bahasa Indonesia,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-078,"Secara sederhana, Intervensi apa yang dapat memperbaiki kualitas udara Jakarta?",Bahasa Indonesia,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-079,"Untuk warga Jakarta, Intervensi apa yang dapat memperbaiki kualitas udara Jakarta?",Bahasa Indonesia,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-080,Apa kata bukti resmi tentang ini: Intervensi apa yang dapat memperbaiki kualitas udara Jakarta?,Bahasa Indonesia,improvement,jakarta-improvements,,seeded_pending_human_review,,,
expanded-081,How can an individual reduce their contribution to pollution?,English,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-082,Please explain: How can an individual reduce their contribution to pollution?,English,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-083,"In simple terms, How can an individual reduce their contribution to pollution?",English,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-084,"For a Jakarta resident, How can an individual reduce their contribution to pollution?",English,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-085,What does the evidence say about this: How can an individual reduce their contribution to pollution?,English,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-086,Bagaimana seseorang dapat mengurangi kontribusinya terhadap polusi?,Bahasa Indonesia,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-087,Tolong jelaskan: Bagaimana seseorang dapat mengurangi kontribusinya terhadap polusi?,Bahasa Indonesia,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-088,"Secara sederhana, Bagaimana seseorang dapat mengurangi kontribusinya terhadap polusi?",Bahasa Indonesia,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-089,"Untuk warga Jakarta, Bagaimana seseorang dapat mengurangi kontribusinya terhadap polusi?",Bahasa Indonesia,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-090,Apa kata bukti resmi tentang ini: Bagaimana seseorang dapat mengurangi kontribusinya terhadap polusi?,Bahasa Indonesia,individual_emissions,jakarta-improvements,,seeded_pending_human_review,,,
expanded-091,How can I reduce my exposure on a polluted day?,English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-092,Please explain: How can I reduce my exposure on a polluted day?,English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-093,"In simple terms, How can I reduce my exposure on a polluted day?",English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-094,"For a Jakarta resident, How can I reduce my exposure on a polluted day?",English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-095,What does the evidence say about this: How can I reduce my exposure on a polluted day?,English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-096,Bagaimana saya mengurangi paparan pada hari yang berpolusi?,Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-097,Tolong jelaskan: Bagaimana saya mengurangi paparan pada hari yang berpolusi?,Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-098,"Secara sederhana, Bagaimana saya mengurangi paparan pada hari yang berpolusi?",Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-099,"Untuk warga Jakarta, Bagaimana saya mengurangi paparan pada hari yang berpolusi?",Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-100,Apa kata bukti resmi tentang ini: Bagaimana saya mengurangi paparan pada hari yang berpolusi?,Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-101,Is a high-rise apartment always safer than ground level?,English,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-102,Please explain: Is a high-rise apartment always safer than ground level?,English,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-103,"In simple terms, Is a high-rise apartment always safer than ground level?",English,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-104,"For a Jakarta resident, Is a high-rise apartment always safer than ground level?",English,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-105,What does the evidence say about this: Is a high-rise apartment always safer than ground level?,English,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-106,Apakah apartemen bertingkat tinggi selalu lebih aman daripada lantai dasar?,Bahasa Indonesia,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-107,Tolong jelaskan: Apakah apartemen bertingkat tinggi selalu lebih aman daripada lantai dasar?,Bahasa Indonesia,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-108,"Secara sederhana, Apakah apartemen bertingkat tinggi selalu lebih aman daripada lantai dasar?",Bahasa Indonesia,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-109,"Untuk warga Jakarta, Apakah apartemen bertingkat tinggi selalu lebih aman daripada lantai dasar?",Bahasa Indonesia,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-110,Apa kata bukti resmi tentang ini: Apakah apartemen bertingkat tinggi selalu lebih aman daripada lantai dasar?,Bahasa Indonesia,vertical_exposure,vertical-exposure,,seeded_pending_human_review,,,
expanded-111,Why must an observation timestamp be shown?,English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-112,Please explain: Why must an observation timestamp be shown?,English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-113,"In simple terms, Why must an observation timestamp be shown?",English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-114,"For a Jakarta resident, Why must an observation timestamp be shown?",English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-115,What does the evidence say about this: Why must an observation timestamp be shown?,English,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-116,Mengapa waktu pengamatan harus ditampilkan?,Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-117,Tolong jelaskan: Mengapa waktu pengamatan harus ditampilkan?,Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-118,"Secara sederhana, Mengapa waktu pengamatan harus ditampilkan?",Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-119,"Untuk warga Jakarta, Mengapa waktu pengamatan harus ditampilkan?",Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-120,Apa kata bukti resmi tentang ini: Mengapa waktu pengamatan harus ditampilkan?,Bahasa Indonesia,methodology,jakarta-monitoring,,seeded_pending_human_review,,,
expanded-121,What is the difference between source apportionment and an emissions inventory?,English,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-122,Please explain: What is the difference between source apportionment and an emissions inventory?,English,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-123,"In simple terms, What is the difference between source apportionment and an emissions inventory?",English,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-124,"For a Jakarta resident, What is the difference between source apportionment and an emissions inventory?",English,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-125,What does the evidence say about this: What is the difference between source apportionment and an emissions inventory?,English,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-126,Apa perbedaan antara source apportionment dan inventarisasi emisi?,Bahasa Indonesia,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-127,Tolong jelaskan: Apa perbedaan antara source apportionment dan inventarisasi emisi?,Bahasa Indonesia,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-128,"Secara sederhana, Apa perbedaan antara source apportionment dan inventarisasi emisi?",Bahasa Indonesia,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-129,"Untuk warga Jakarta, Apa perbedaan antara source apportionment dan inventarisasi emisi?",Bahasa Indonesia,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-130,Apa kata bukti resmi tentang ini: Apa perbedaan antara source apportionment dan inventarisasi emisi?,Bahasa Indonesia,causality,jakarta-causes,,seeded_pending_human_review,,,
expanded-131,What does the ERP policy status mean as of 2025?,English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-132,Please explain: What does the ERP policy status mean as of 2025?,English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-133,"In simple terms, What does the ERP policy status mean as of 2025?",English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-134,"For a Jakarta resident, What does the ERP policy status mean as of 2025?",English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-135,What does the evidence say about this: What does the ERP policy status mean as of 2025?,English,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-136,Apa status kebijakan ERP per tahun 2025?,Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-137,Tolong jelaskan: Apa status kebijakan ERP per tahun 2025?,Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-138,"Secara sederhana, Apa status kebijakan ERP per tahun 2025?",Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-139,"Untuk warga Jakarta, Apa status kebijakan ERP per tahun 2025?",Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-140,Apa kata bukti resmi tentang ini: Apa status kebijakan ERP per tahun 2025?,Bahasa Indonesia,policy_history,jakarta-policy-status,,seeded_pending_human_review,,,
expanded-141,How should parents respond when air quality is unhealthy?,English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-142,Please explain: How should parents respond when air quality is unhealthy?,English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-143,"In simple terms, How should parents respond when air quality is unhealthy?",English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-144,"For a Jakarta resident, How should parents respond when air quality is unhealthy?",English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-145,What does the evidence say about this: How should parents respond when air quality is unhealthy?,English,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-146,Apa yang sebaiknya dilakukan orang tua saat kualitas udara tidak sehat?,Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-147,Tolong jelaskan: Apa yang sebaiknya dilakukan orang tua saat kualitas udara tidak sehat?,Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-148,"Secara sederhana, Apa yang sebaiknya dilakukan orang tua saat kualitas udara tidak sehat?",Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-149,"Untuk warga Jakarta, Apa yang sebaiknya dilakukan orang tua saat kualitas udara tidak sehat?",Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
expanded-150,Apa kata bukti resmi tentang ini: Apa yang sebaiknya dilakukan orang tua saat kualitas udara tidak sehat?,Bahasa Indonesia,exposure,exposure-protection,,seeded_pending_human_review,,,
